searge,name,side,desc
func_110229_cs,canCarryChest,2,Return true if the horse entity can carry a chest.
func_110231_cz,makeHorseRearWithSound,2,
func_110233_w,getHorseWatchableBoolean,2,
func_110234_j,setHorseTamed,2,
func_110235_q,setHorseVariant,2,
func_110238_s,setTemper,2,
func_110240_a,dropItemsInChest,2,
func_110243_cf,getHasReproduced,2,
func_110244_cA,dropChestItems,2,
func_110246_bZ,isHorseJumping,2,
func_110247_cG,setHorseTexturePaths,0,
func_110248_bS,isTame,2,
func_110249_cI,openHorseMouth,2,
func_110250_a,getClosestHorse,2,
func_110251_o,setHorseSaddled,2,
func_110252_cg,getTemper,2,
func_110254_bY,getHorseSize,2,
func_110255_k,setHorseJumping,2,
func_110256_cu,isUndead,2,"Used to know if the horse can be leashed, if he can mate, or if we can interact with him"
func_110257_ck,isHorseSaddled,2,
func_110258_o,getGrassEatingAmount,0,
func_110259_cr,canWearArmor,2,Return true if the horse entity can wear an armor
func_110260_d,getHorseArmorIndex,2,"0 = iron, 1 = gold, 2 = diamond"
func_110261_ca,isChested,2,
func_110262_ch,prepareChunkForSpawn,2,
func_110263_g,setTamedBy,2,
func_110264_co,getHorseTexture,0,
func_110265_bP,getHorseType,2,"Returns the horse type. 0 = Normal, 1 = Donkey, 2 = Mule, 3 = Undead Horse, 4 = Skeleton Horse"
func_110297_a_,verifySellingItem,2,"Notifies the merchant of a possible merchantrecipe being fulfilled or not. Usually, this is just a sound byte being played depending if the suggested itemstack is not null."
func_110298_a,displayGUIHorse,2,
func_110303_q,getLocationCape,0,
func_110304_a,getDownloadImageSkin,0,
func_110306_p,getLocationSkin,0,
func_110311_f,getLocationSkin,0,
func_110317_t,isRidingHorse,0,
func_110318_g,sendHorseJump,0,
func_110319_bJ,getHorseJumpPower,0,
func_110326_a,setRecordPlaying,0,
func_110430_a,setEntityActionState,2,
func_110432_I,getSession,0,
func_110434_K,getTextureManager,0,
func_110436_a,refreshResources,0,
func_110437_J,getProxy,0,
func_110438_M,getResourcePackRepository,0,
func_110441_Q,updateDisplayMode,0,
func_110442_L,getResourceManager,0,
func_110454_ao,getServerProxy,2,
func_110455_j,getOpPermissionLevel,2,
func_110462_b,getPackFormat,0,
func_110468_c,getFrameIndex,0,
func_110469_d,getFrameTime,0,
func_110470_b,frameHasTime,0,
func_110471_a,getFrameHeight,0,
func_110472_a,getFrameTimeSingle,0,
func_110473_c,getFrameCount,0,
func_110474_b,getFrameWidth,0,
func_110479_a,getTextureBlur,0,
func_110480_b,getTextureClamp,0,
func_110483_a,getSectionName,0,The name of this section type as it appears in JSON.
func_110492_a,parseAnimationFrame,0,
func_110495_a,hasNoTime,0,
func_110496_c,getFrameIndex,0,
func_110497_b,getFrameTime,0,
func_110503_a,parseMetadataSection,0,
func_110504_a,registerMetadataSectionType,0,
func_110505_a,getGson,0,Returns a Gson instance with type adapters registered for metadata sections.
func_110514_c,getResourcePack,0,
func_110515_d,getResourcePackName,0,
func_110516_a,updateResourcePack,0,
func_110517_b,closeResourcePack,0,
func_110518_a,bindTexturePackIcon,0,
func_110519_e,getTexturePackDescription,0,
func_110526_a,getMetadata,0,
func_110527_b,getInputStream,0,
func_110528_c,hasMetadata,0,
func_110536_a,getResource,0,
func_110537_b,getLocationMcmeta,0,
func_110538_a,addResourcePack,0,
func_110541_a,reloadResources,0,
func_110542_a,registerReloadListener,0,
func_110543_a,clearResources,0,
func_110544_b,notifyReloadListeners,0,
func_110545_a,reloadResourcePack,0,
func_110549_a,onResourceManagerReload,0,
func_110550_d,tick,0,
func_110551_a,loadTexture,0,
func_110552_b,getGlTextureId,0,
func_110564_a,updateDynamicTexture,0,
func_110565_c,getTextureData,0,
func_110569_e,initMissingImage,0,
func_110571_b,loadTextureAtlas,0,
func_110572_b,getAtlasSprite,0,
func_110577_a,bindTexture,0,
func_110578_a,getDynamicTextureLocation,0,
func_110579_a,loadTexture,0,
func_110580_a,loadTickableTexture,0,
func_110581_b,getTexture,0,
func_110586_a,getPackImage,0,
func_110587_b,getResourceDomains,0,
func_110589_b,resourceExists,0,
func_110590_a,getInputStream,0,
func_110591_a,getInputStreamByName,0,
func_110592_c,locationToName,0,
func_110593_b,hasResourceName,0,
func_110594_c,logNameNotLowercase,0,
func_110595_a,getRelativeName,0,
func_110596_a,readMetadata,0,
func_110599_c,getResourcePackZipFile,0,
func_110605_c,getResourceStream,0,
func_110609_b,getRepositoryEntriesAll,0,
func_110611_a,updateRepositoryEntriesAll,0,
func_110612_e,getDirResourcepacks,0,
func_110613_c,getRepositoryEntries,0,
func_110614_g,getResourcePackFiles,0,
func_110616_f,fixDirResourcepacks,0,
func_110623_a,getResourcePath,2,
func_110624_b,getResourceDomain,0,
func_110646_a,getTextWithoutFormattingCodes,0,"Returns a copy of the given string, with formatting codes stripped away."
func_110647_a,getOSType,0,
func_110682_a,setBoxRotation,0,Sets the rotations for a ModelRenderer in the ModelHorse class.
func_110683_a,updateHorseRotation,0,Fixes and offsets a rotation in the ModelHorse class.
func_110738_j,isRidingHorse,0,"Checks if the player is riding a horse, used to chose the GUI to open"
func_110775_a,getEntityTexture,0,Returns the location of an entity's texture. Doesn't seem to be called unless you call Render.bindEntityTexture.
func_110776_a,bindTexture,0,
func_110813_b,canRenderName,0,Test if the entity name must be rendered
func_110934_a,addSprite,0,
func_110935_a,getCurrentWidth,0,
func_110936_b,getCurrentHeight,0,
func_110966_b,setIconWidth,0,
func_110967_i,getOriginY,0,"Returns the Y position of this icon on its texture sheet, in pixels."
func_110968_a,setFramesTextureData,0,
func_110969_c,setIconHeight,0,
func_110970_k,getFrameCount,0,
func_110971_a,initSprite,0,
func_110985_a,updateAnaglyph,0,
func_110986_a,readImageData,0,
func_110987_a,uploadTextureImage,0,
func_110988_a,uploadTexture,0,
func_110989_a,uploadTextureImageAllocate,0,
func_110990_a,copyToBuffer,0,
func_110991_a,allocateTexture,0,
func_110993_a,uploadTextureImageSubImpl,0,
func_110994_a,copyToBufferPos,0,
func_110995_a,uploadTextureImageSub,0,
func_110996_a,glGenTextures,0,
func_110997_a,setTextureClamped,0,
func_111108_a,getAttributeUnlocalizedName,2,
func_111109_a,clampValue,2,
func_111110_b,getDefaultValue,2,
func_111111_c,getShouldWatch,2,
func_111112_a,setShouldWatch,2,
func_111116_f,getDescription,2,
func_111117_a,setDescription,2,
func_111121_a,applyModifier,2,
func_111123_a,getAttribute,2,Get the Attribute this is an instance of
func_111124_b,removeModifier,2,
func_111125_b,getBaseValue,2,
func_111126_e,getAttributeValue,2,
func_111127_a,getModifier,2,"Returns attribute modifier, if any, by the given UUID"
func_111128_a,setBaseValue,2,
func_111129_g,computeValue,2,
func_111130_a,getModifiersByOperation,2,
func_111131_f,flagForUpdate,2,
func_111145_d,getWatchableObjectFloat,2,
func_111146_a,getAllAttributes,2,
func_111147_b,applyAttributeModifiers,2,
func_111148_a,removeAttributeModifiers,2,
func_111150_b,registerAttribute,2,"Registers an attribute with this AttributeMap, returns a modifiable AttributeInstance associated with this map"
func_111151_a,getAttributeInstance,2,
func_111152_a,getAttributeInstanceByName,2,
func_111160_c,getWatchedAttributes,2,
func_111161_b,getAttributeInstanceSet,2,
func_111164_d,getAmount,2,
func_111165_e,isSaved,2,@see #isSaved
func_111166_b,getName,2,
func_111167_a,getID,2,
func_111168_a,setSaved,2,@see #isSaved
func_111169_c,getOperation,2,
func_111175_f,getTargetDistance,2,
func_111184_a,registerPotionAttributeModifier,2,Used by potions to register the attribute they modify.
func_111185_a,applyAttributesModifiersToEntity,2,
func_111187_a,removeAttributesModifiersFromEntity,2,
func_111190_b,sendMetadataToAllAssociatedPlayers,2,"Sends the entity metadata (DataWatcher) and attributes to all players tracking this entity, including the entity itself if a player."
func_111194_a,processChunk,2,This method currently only increases chunk inhabited time. Extension is possible in next versions
func_111196_a,increaseInhabitedTime,2,Increases chunk inhabited time every 8000 ticks
func_111205_h,getItemAttributeModifiers,2,"Gets a map of item attribute modifiers, used by ItemSword to increase hit damage."
func_111206_d,getByNameOrId,2,"Tries to get an Item by it's name (e.g. minecraft:apple) or a String representation of a numerical ID. If both fail, null is returned."
func_111207_a,itemInteractionForEntity,2,"Returns true if the item can be used on the given entity, e.g. shears on sheep."
func_111225_m,getRelevantEnchantmentTypes,0,Returns the enchantment types relevant to this tab
func_111226_a,hasRelevantEnchantmentType,0,
func_111229_a,setRelevantEnchantmentTypes,2,Sets the enchantment types for populating this tab with enchanting books
func_111238_b,canBeHovered,0,"Actualy only call when we want to render the white square effect over the slots. Return always True, except for the armor slot of the Donkey/Mule (we can't interact with the Undead and Skeleton horses)"
func_111257_a,writeBaseAttributeMapToNBT,2,"Creates an NBTTagList from a BaseAttributeMap, including all its AttributeInstances"
func_111258_a,applyModifiersToAttributeInstance,2,
func_111259_a,readAttributeModifierFromNBT,2,Creates an AttributeModifier from an NBTTagCompound
func_111261_a,writeAttributeInstanceToNBT,2,"Creates an NBTTagCompound from an AttributeInstance, including its AttributeModifiers"
func_111262_a,writeAttributeModifierToNBT,2,Creates an NBTTagCompound from an AttributeModifier
func_111269_d,getPathSearchRange,2,Gets the maximum distance that the path finding will search in.
func_111270_a,union,2,
func_111271_a,getUnicodePageLocation,0,
func_111272_d,readFontTexture,0,
func_111282_a,interactWithEntity,2,
func_111283_C,getAttributeModifiers,2,Gets the attribute modifiers for this ItemStack.\nWill check for an NBT tag list containing modifiers for the stack.
func_111285_a,getUsername,0,
func_111286_b,getSessionID,0,
func_120011_ar,setGuiEnabled,1,
func_120016_a,createServerGui,1,Creates the server GUI and sets it visible for the user.
func_120018_d,getLogComponent,1,
func_120019_b,getStatsComponent,1,Generates new StatsComponent and returns it.
func_120020_c,getPlayerListComponent,1,Generates new PlayerListComponent and returns it.
func_130001_d,getCurrentMoonPhaseFactor,2,"gets the current fullness of the moon expressed as a float between 1.0 and 0.0, in steps of .25"
func_130002_c,interactFirst,2,First layer of player interaction
func_130010_a,getOriginX,0,"Returns the X position of this icon on its texture sheet, in pixels."
func_130011_c,setLastAttacker,2,
func_130014_f_,getEntityWorld,2,
func_130071_aq,getCurrentTimeMillis,2,
func_130072_d,getAnimationFrame,0,
func_130073_e,getFrameIndexSet,0,
func_130077_b,getPackName,0,
func_130098_m,hasAnimationMetadata,0,
func_130099_d,allocateFrameTextureData,0,
func_130102_n,resetSprite,0,
func_130103_l,clearFramesTextureData,0,
func_130105_g,getMinecraftStartTimeMillis,2,Returns the saved value of System#currentTimeMillis when the game started
func_135016_M,getLanguageManager,0,
func_135018_a,getLanguages,0,
func_135021_a,loadLocaleData,0,
func_135022_a,loadLocaleDataFiles,0,"par2 is a list of languages. For each language $L and domain $D, attempts to load the resource $D:lang/$L.lang"
func_135023_a,formatMessage,0,"Calls String.format(translateKey(key), params)"
func_135024_b,checkUnicode,0,
func_135025_a,isUnicode,0,
func_135026_c,translateKeyPrivate,0,"Returns the translation, or the key itself if the key could not be translated."
func_135028_a,loadLocaleData,0,par1 is a list of Resources
func_135034_a,getLanguageCode,0,
func_135035_b,isBidirectional,0,
func_135040_d,getLanguages,0,
func_135041_c,getCurrentLanguage,0,
func_135042_a,isCurrentLocaleUnicode,0,
func_135043_a,parseLanguageMetadata,0,
func_135044_b,isCurrentLanguageBidirectional,0,
func_135045_a,setCurrentLanguage,0,
func_135051_a,setLocale,0,
func_135052_a,format,0,"format(a, b) is equivalent to String.format(translate(a), b). Args: translationKey, params..."
func_135055_a,getResourceDomains,0,
func_135056_b,getAllResources,0,
func_135058_a,getPackMetadata,0,
func_135063_a,replaceWith,0,Replaces all the current instance's translations with the ones that are passed in.
func_135064_c,tryTranslateKey,2,Tries to look up a translation for the given key; spits back the key if no result was found.
func_135074_t,clearCustomName,2,Clear any custom name set for this ItemStack
func_140005_i,switchToRealms,0,
func_142008_O,shouldSetPosAfterLoading,2,
func_142012_a,isOnTeam,2,Returns true if the entity is on a specific team.
func_142013_aG,getLastAttackerTime,2,
func_142014_c,isOnSameTeam,2,
func_142015_aE,getRevengeTimer,2,
func_142021_k,getClientBrand,0,
func_142049_d,removeAllModifiers,0,
func_142053_d,formatString,2,
func_142054_a,isSameTeam,2,Same as ==
func_143004_u,markPlayerActive,2,
func_143006_e,setPlayerIdleTimeout,2,
func_143007_ar,getMaxPlayerIdleMinutes,2,
func_143011_b,readStructureFromNBT,2,(abstract) Helper method to read subclass data from NBT
func_143012_a,writeStructureToNBT,2,(abstract) Helper method to write subclass data to NBT
func_143016_a,registerVillagePieces,2,
func_143025_a,getStructureName,2,
func_143031_a,registerStructureComponent,2,
func_143034_b,registerStructure,2,
func_143045_a,registerScatteredFeaturePieces,2,
func_143046_a,registerStrongholdPieces,2,
func_143048_a,registerStructurePieces,2,
func_143049_a,registerNetherFortressPieces,2,
func_145747_a,addChatMessage,2,"Notifies this sender of some sort of information.  This is for messages intended to display to the user.  Used for typical output (like ""you asked for whether or not this game rule is set, so here's your answer""), warnings (like ""I fetched this block for you by ID, but I'd like you to know that every time you do this, I die a little inside""), and errors (like ""it's not called iron_pixacke, silly"")."
func_145748_c_,getDisplayName,2,
func_145749_h,getLastOutput,2,Returns the lastOutput.
func_145752_a,setCommand,2,Sets the command.
func_145753_i,getCustomName,2,Returns the customName of the command block.
func_145755_a,trigger,2,
func_145758_a,writeDataToNBT,2,Stores data to NBT format.
func_145759_b,readDataFromNBT,2,Reads NBT formatting and stored data into variables.
func_145760_g,getSuccessCount,2,returns the successCount int.
func_145769_d,setEntityId,2,
func_145770_h,isInRangeToRender3d,0,
func_145771_j,pushOutOfBlocks,2,
func_145773_az,doesEntityNotTriggerPressurePlate,2,Return whether this entity should NOT trigger a pressure plate or a tripwire.
func_145775_I,doBlockCollisions,2,
func_145776_H,getSwimSound,2,
func_145777_O,getSplashSound,2,
func_145778_a,dropItemWithOffset,2,
func_145779_a,dropItem,2,
func_145782_y,getEntityId,2,
func_145797_a,setOwner,2,
func_145798_i,getOwner,2,
func_145799_b,setThrower,2,
func_145800_j,getThrower,2,
func_145806_a,setHurtEntities,2,
func_145807_e,getWorldObj,0,
func_145818_k_,hasCustomName,2,Returns true if this thing is named
func_145826_a,addMapping,2,Adds a new two-way mapping between the class and its string name in both hashmaps.
func_145827_c,createAndLoadEntity,2,Creates a new entity and loads its data from the specified NBT.
func_145828_a,addInfoToCrashReport,2,
func_145829_t,validate,2,validates a tile entity
func_145830_o,hasWorldObj,2,Returns true if the worldObj isn't null.
func_145831_w,getWorld,2,Returns the worldObj for this tileEntity.
func_145832_p,getBlockMetadata,2,
func_145833_n,getMaxRenderDistanceSquared,0,
func_145834_a,setWorldObj,2,Sets the worldObj for this tileEntity.
func_145835_a,getDistanceSq,0,Returns the square of the distance between this entity and the passed in coordinates.
func_145836_u,updateContainingBlockInfo,2,
func_145837_r,isInvalid,2,
func_145838_q,getBlockType,2,Gets the block type at the location of this entity (client-only).
func_145839_a,readFromNBT,2,
func_145841_b,writeToNBT,2,
func_145842_c,receiveClientEvent,2,
func_145843_s,invalidate,2,invalidates a tile entity
func_145844_m,getDescriptionPacket,2,Overriden in a sign to provide the text.
func_145856_a,getRecord,2,
func_145857_a,setRecord,2,
func_145866_f,clearPistonTileEntity,2,"removes a piston's tile entity (and if the piston is moving, stops it)"
func_145867_d,shouldPistonHeadBeRendered,0,
func_145868_b,isExtending,2,Returns true if a piston is extending
func_145877_a,changePitch,2,change pitch by -> (currentPitch + 1) % 25
func_145881_a,getSpawnerBaseLogic,2,
func_145886_a,setCustomName,2,
func_145888_j,isOnTransferCooldown,2,
func_145894_a,canCombine,2,
func_145896_c,setTransferCooldown,2,
func_145903_a,setSkullRotation,2,
func_145904_a,getSkullType,2,
func_145906_b,getSkullRotation,0,
func_145913_a,setEditable,0,Sets the sign's isEditable flag to the specified parameter.
func_145914_a,getIsEditable,2,
func_145934_k,canBrew,2,
func_145940_l,brewPotions,2,
func_145948_k,canSmelt,2,"Returns true if the furnace can smelt an item, i.e. has a source item, destination stack isn't full, etc."
func_145949_j,smeltItem,2,Turn one item from the furnace source stack into the appropriate smelted item in the furnace result stack
func_145950_i,isBurning,2,Furnace isBurning
func_145951_a,setCustomInventoryName,2,
func_145952_a,getItemBurnTime,2,"Returns the number of ticks that the supplied fuel item will keep the furnace burning, or 0 if the item isn't fuel"
func_145954_b,isItemFuel,2,
func_145965_a,getFlowerPotItem,2,
func_145966_b,getFlowerPotData,2,
func_145976_a,setCustomName,2,
func_145979_i,checkForAdjacentChests,2,Performs the check for adjacent chests to determine if this chest is double or not.
func_145980_j,getChestType,2,
func_145993_a,getCommandBlockLogic,2,
func_145995_a,setOutputSignal,2,
func_145996_a,getOutputSignal,2,
func_146002_i,shouldBeamRender,0,
func_146023_a,getStrVsBlock,2,
func_146024_c,getInventorySlotContainItemAndDamage,0,
func_146026_a,consumeInventoryItem,2,"removed one item of specified Item from inventory (if it is in a stack, the stack size will reduce with 1)"
func_146028_b,hasItem,2,Checks if a specified Item is inside the inventory
func_146029_c,getInventorySlotContainItem,2,
func_146030_a,setCurrentItem,0,
func_146031_a,setChestTileEntity,2,
func_146034_e,handleHookRetraction,2,
func_146035_c,handleHookCasting,2,
func_146068_u,getDropItem,2,
func_146082_f,setInLove,2,
func_146086_d,setHorseArmorStack,2,Set horse armor stack (for example: new ItemStack(Items.iron_horse_armor))
func_146094_a,getUUID,2,Gets a players UUID given their GameProfie
func_146099_a,canHarvestBlock,2,Checks if the player has the ability to harvest a block (checks current inventory item for a tool if necessary)
func_146103_bH,getGameProfile,2,Returns the GameProfile for this player
func_146105_b,addChatComponentMessage,2,
func_146107_m,getStatFileWriter,0,
func_146110_a,drawModalRectWithCustomSizedTexture,0,"Draws a textured rectangle at z = 0. Args: x, y, u, v, width, height, textureWidth, textureHeight"
func_146111_b,drawButtonForegroundLayer,0,
func_146112_a,drawButton,0,Draws this button to the screen.
func_146113_a,playPressSound,0,
func_146114_a,getHoverState,0,"Returns 0 if the button is disabled, 1 if the mouse is NOT hovering over this button and 2 if it IS hovering over this button."
func_146115_a,isMouseOver,0,Whether the mouse cursor is currently over the button.
func_146116_c,mousePressed,0,Returns true if the mouse has been pressed on this control. Equivalent of MouseListener.mousePressed(MouseEvent e).
func_146117_b,getButtonWidth,0,
func_146118_a,mouseReleased,0,Fired when the mouse button is released. Equivalent of MouseListener.mouseReleased(MouseEvent e).
func_146119_b,mouseDragged,0,Fired when the mouse button is dragged. Equivalent of MouseListener.mouseDragged(MouseEvent e).
func_146136_c,returnEnumOptions,0,
func_146158_b,getChatGUI,0,"returns a pointer to the persistant Chat GUI, containing all previous chat messages and such"
func_146159_a,drawLabel,0,
func_146160_b,drawLabelBackground,0,
func_146175_b,deleteFromCursor,0,"delete the selected text, otherwsie deletes characters from either side of the cursor. params: delete num"
func_146176_q,getVisible,0,returns true if this textbox is visible
func_146177_a,deleteWords,0,Deletes the specified number of words starting at the cursor position. Negative numbers will delete words left of the cursor.
func_146178_a,updateCursorCounter,0,Increments the cursor counter
func_146179_b,getText,0,Returns the contents of the textbox
func_146180_a,setText,0,Sets the text of the textbox
func_146181_i,getEnableBackgroundDrawing,0,get enable drawing background and outline
func_146182_d,moveCursorBy,0,Moves the text cursor by a specified number of characters and clears the selection
func_146183_a,getNthWordFromPos,0,"gets the position of the nth word. N may be negative, then it looks backwards. params: N, position"
func_146184_c,setEnabled,0,
func_146185_a,setEnableBackgroundDrawing,0,enable drawing background and outline
func_146186_n,getSelectionEnd,0,"the side of the selection that is not the cursor, may be the same as the cursor"
func_146187_c,getNthWordFromCursor,0,"see @getNthNextWordFromPos() params: N, position"
func_146188_c,drawCursorVertical,0,draws the vertical line cursor in the textbox
func_146189_e,setVisible,0,Sets whether or not this textbox is visible
func_146190_e,setCursorPosition,0,sets the position of the cursor to the provided index
func_146191_b,writeText,0,"replaces selected text, or inserts text at the position on the cursor"
func_146192_a,mouseClicked,0,"Args: x, y, buttonClicked"
func_146193_g,setTextColor,0,Sets the text colour for this textbox (disabled text will not use this colour)
func_146194_f,drawTextBox,0,Draws the textbox
func_146195_b,setFocused,0,Sets focus to this gui element
func_146196_d,setCursorPositionZero,0,sets the cursors position to the beginning
func_146198_h,getCursorPosition,0,returns the current position of the cursor
func_146199_i,setSelectionPos,0,Sets the position of the selection anchor (i.e. position the selection was started at)
func_146200_o,getWidth,0,returns the width of the textbox depending on if background drawing is enabled
func_146201_a,textboxKeyTyped,0,Call this method from your GuiScreen to process the keys into the textbox
func_146202_e,setCursorPositionEnd,0,sets the cursors position to after the text
func_146203_f,setMaxStringLength,0,
func_146204_h,setDisabledTextColour,0,
func_146205_d,setCanLoseFocus,0,if true the textbox can lose focus by clicking elsewhere on the screen
func_146206_l,isFocused,0,Getter for the focused field
func_146207_c,getSelectedText,0,returns the text between the cursor and selectionEnd
func_146208_g,getMaxStringLength,0,returns the maximum number of character that can be contained in this textbox
func_146227_a,printChatMessage,0,
func_146228_f,getChatWidth,0,
func_146229_b,scroll,0,Scrolls the chat by the given number of lines.
func_146230_a,drawChat,0,
func_146231_a,clearChatMessages,0,Clears the chat.
func_146232_i,getLineCount,0,
func_146233_a,calculateChatboxWidth,0,
func_146234_a,printChatMessageWithOptionalDeletion,0,"prints the ChatComponent to Chat. If the ID is not 0, deletes an existing Chat Line of that ID from the GUI"
func_146236_a,getChatComponent,0,Gets the chat component under the mouse
func_146237_a,setChatLine,0,
func_146238_c,getSentMessages,0,Gets the list of messages previously sent through the chat GUI
func_146239_a,addToSentMessages,0,"Adds this string to the list of sent messages, for recall using the up/down arrow keys"
func_146240_d,resetScroll,0,"Resets the chat scroll (executed when the GUI is closed, among others)"
func_146241_e,getChatOpen,0,Returns true if the chat GUI is open
func_146242_c,deleteChatLine,0,finds and deletes a Chat line by ID
func_146243_b,calculateChatboxHeight,0,
func_146244_h,getChatScale,0,Returns the chatscale from mc.gameSettings.chatScale
func_146245_b,refreshChat,0,
func_146246_g,getChatHeight,0,
func_146254_a,updateAchievementWindow,0,
func_146255_b,displayUnformattedAchievement,0,
func_146256_a,displayAchievement,0,
func_146257_b,clearAchievements,0,
func_146258_c,updateAchievementWindowScale,0,
func_146269_k,handleInput,0,Delegates mouse and keyboard input.
func_146270_b,drawWorldBackground,0,
func_146271_m,isCtrlKeyDown,0,Returns true if either windows ctrl key is down or if either mac meta key is down
func_146272_n,isShiftKeyDown,0,Returns true if either shift key is down
func_146273_a,mouseClickMove,0,"Called when a mouse button is pressed and the mouse is moved around. Parameters are : mouseX, mouseY, lastButtonClicked & timeSinceMouseClick."
func_146274_d,handleMouseInput,0,Handles mouse input.
func_146275_d,setClipboardString,0,Stores the given string in the system clipboard
func_146276_q_,drawDefaultBackground,0,Draws either a gradient over the background screen (when it exists) or a flat gradient over background.png
func_146277_j,getClipboardString,0,Returns a string stored in the system clipboard.
func_146278_c,drawBackground,0,Draws the background (i is always 0 as of 1.2.2)
func_146279_a,drawCreativeTabHoveringText,0,"Draws the text when mouse is over creative inventory tab. Params: current creative tab to be checked, current mouse x position, current mouse y position."
func_146280_a,setWorldAndResolution,0,Causes the screen to lay out its subcomponents again. This is the equivalent of the Java call Container.validate()
func_146281_b,onGuiClosed,0,Called when the screen is unloaded. Used to disable keyboard repeat events
func_146282_l,handleKeyboardInput,0,Handles keyboard input.
func_146283_a,drawHoveringText,0,
func_146284_a,actionPerformed,0,
func_146285_a,renderToolTip,0,
func_146286_b,mouseReleased,0,"Called when a mouse button is released.  Args : mouseX, mouseY, releaseButton"
func_146350_a,setButtonDelay,0,Sets the number of ticks to wait before enabling the buttons.
func_146358_g,disableSecurityWarning,0,
func_146359_e,copyLinkToClipboard,0,Copies the link to the system clipboard.
func_146367_a,connect,0,
func_146402_a,getSentHistory,0,"input is relative and is applied directly to the sentHistoryCursor so -1 is the previous message, 1 is the next message from the current cursor position"
func_146404_p_,autocompletePlayerNames,0,
func_146405_a,sendAutocompleteRequest,0,
func_146406_a,onAutocompleteResponse,0,
func_146418_g,wakeFromSleep,0,
func_146456_p,pageGetCurrent,0,Returns the entire text of the current page as determined by currPage
func_146457_a,pageSetCurrent,0,Sets the text of the current page as determined by currPage
func_146459_b,pageInsertIntoCurrent,0,"Processes any text getting inserted into the current page, enforcing the page size limit"
func_146460_c,keyTypedInTitle,0,Processes keystrokes when editing the title of a book
func_146461_i,addNewPage,0,
func_146462_a,sendBookToServer,0,
func_146463_b,keyTypedInBook,0,Processes keystrokes when editing the text of a book
func_146464_h,updateButtons,0,
func_146504_a,getSoundVolume,0,
func_146509_g,doneLoading,0,
func_146521_a,drawStatsScreen,0,
func_146527_c,drawSprite,0,Draws a sprite from assets/textures/gui/container/stats_icons.png
func_146531_b,drawButtonBackground,0,Draws a gray box that serves as a button background.
func_146541_h,createButtons,0,
func_146552_b,drawAchievementScreen,0,
func_146553_h,drawTitle,0,
